3i Group,@3iplc
Admiral Group,@AdmiralGroup
Anglo American,@AngloAmerican
Antofagasta,@AntofagastaPLC
Ashtead Group,@Ashtead_Group
AstraZeneca,@ASTRAZENECAUK
Aviva,@AvivaUK
BAE Systems,@BAESystemsplc
BHP Billiton,@bhpbilliton
BP,@BP_plc
BT Group,@BTGroup
Barclays,@BarclaysUK
Barratt Developments,@Barrattplc
British Land Co,@BritishLandPLC
Burberry Group,@Burberry
CRH,@CRHFSG_UK
Capita,@CapitaPlc
Carnival,@CarnivalPLC
Centrica,@centricaplc
Coca-Cola HBC AG,@CocaCola_GB
Compass Group,@compassgroupuk
ConvaTec Group,@ConvaTec_UKI
Diageo,@DiageoGB
Direct Line Insurance Group,@DirectLine_UK
Dixons Carphone,@DixonsCarphone
Experian,@Experian
Fresnillo,@Fresnillo
GKN,@GKN_plc
GlaxoSmithKline,@GSK
Glencore,@Glencore
HSBC Holdings,@HSBC
Hammerson,@Hammersonplc
Hargreaves Lansdown,@HLInvest
Hikma Pharmaceuticals,@hikmapharma
ITV,@ITV
Imperial Brands,@ImperialBrands
Informa,@InformaPLC
InterContinental Hotels Group,@IHG
Intertek Group,@Intertekespanol
Intu Properties,@intugroup
Johnson Matthey,@JohnsonMattheyPlc
Kingfisher,@kingfisherplc
Land Securities Group,@LandSecurities
Legal & General Group,@landg_uk
Lloyds Banking Group,@AskLloydsBank
London Stock Exchange Group,@LSEplc
Marks & Spencer Group,@marksandspencer
Mediclinic International,@MediclinicInternational
Merlin Entertainments,@merlinentertainments
Micro Focus International,@MicroFocus
Morrison (Wm) Supermarkets,@Morrisons
National Grid,@nationalgriduk
Next,@nextofficial
Old Mutual,@OldMutualSA
Paddy Power Betfair,@paddypower
Pearson,@pearson
Persimmon,@PersimmonHomes
Provident Financial,@provfin
RELX,@RELXGroupHQ
RSA Insurance Group,@rsagroup
Reckitt Benckiser Group,@discoverRB
Rio Tinto,@RioTinto
Rolls-Royce Holdings,@RollsRoyce
Royal Bank of Scotland Group (The),@RBS
Royal Dutch Shell,@Shell
Royal Mail,@RoyalMail
SSE,@SSE
Sage Group (The),@sageuk
Sainsbury (J),@sainsburys
Schroders,@Schroders
Severn Trent,@stwater
Shire,@Shireplc
Sky,@SkyUK
Smith & Nephew,@SmithNephewPLC
Smiths Group,@SmithsGroupplc
Smurfit Kappa Group,@smurfitkappa
Standard Chartered,@StanChart
Standard Life,@StandardLifeplc
TUI AG,@TUIGroup
Taylor Wimpey,@TaylorWimpey
Tesco,@Tesco
Unilever,@Unilever
United Utilities Group,@unitedutilities
Vodafone Group,@VodafoneGroup
WPP,@WPP
Whitbread,@WhitbreadPLC
Wolseley,@WolseleyUK
Worldpay Group,@Worldpay_UK
easyJet,@easyJet
