3i Group,4
Admiral Group,14
Anglo American,143
Antofagasta,0
Ashtead Group,0
AstraZeneca,116
Aviva,1409
BAE Systems,754
Barclays,2072
Barratt Developments,132
BHP Billiton,313
BP,823
British Land Co,467
BT Group,1309
Burberry Group,2116
Capita,178
Carnival,262
Centrica,205
Coca-Cola HBC AG,521
Compass Group,1354
ConvaTec Group,5
CRH,0
Diageo,394
Direct Line Insurance Group,216
Dixons Carphone,451
easyJet,3201
Experian,510
Fresnillo,0
GKN,134
GlaxoSmithKline,2921
Glencore,328
Hammerson,1084
Hargreaves Lansdown,23
Hikma Pharmaceuticals,25
HSBC Holdings,1843
Imperial Brands,2
Informa,30
InterContinental Hotels Group,306
Intertek Group,0
Intu Properties,116
ITV,9802
Johnson Matthey,0
Kingfisher,20
Land Securities Group,360
Legal & General Group,112
Lloyds Banking Group,302
London Stock Exchange Group,694
Marks & Spencer Group,7861
Mediclinic International,0
Merlin Entertainments,0
Micro Focus International,326
Morrison (Wm) Supermarkets,4582
National Grid,291
Next,1995
Old Mutual,408
Paddy Power Betfair,2926
Pearson,881
Persimmon,123
Provident Financial,91
Reckitt Benckiser Group,146
RELX,33
Rio Tinto,292
Rolls-Royce Holdings,1924
Royal Bank of Scotland Group (The),1037
Royal Dutch Shell,3389
Royal Mail,1123
RSA Insurance Group,74
Sage Group (The),4985
Sainsbury (J),8720
Schroders,186
Severn Trent,187
Shire,305
Sky,-12
Smith & Nephew,15
Smiths Group,67
Smurfit Kappa Group,191
SSE,555
Standard Chartered,3071
Standard Life,262
Taylor Wimpey,359
Tesco,4737
TUI AG,311
Unilever,1978
United Utilities Group,562
Vodafone Group,241
Whitbread,172
Wolseley,41
Worldpay Group,211
WPP,388
