3i Group,5
Admiral Group,0
Anglo American,2
Antofagasta,0
Ashtead Group,0
AstraZeneca,1
Aviva,25
BAE Systems,23
Barclays,75
Barratt Developments,1
BHP Billiton,0
BP,-12
British Land Co,4
BT Group,19
Burberry Group,46
Capita,5
Carnival,0
Centrica,28
Coca-Cola HBC AG,5
Compass Group,28
ConvaTec Group,0
CRH,0
Diageo,29
Direct Line Insurance Group,40
Dixons Carphone,19
easyJet,128
Experian,2
Fresnillo,0
GKN,14
GlaxoSmithKline,55
Glencore,-3
Hammerson,4
Hargreaves Lansdown,12
Hikma Pharmaceuticals,0
HSBC Holdings,-17
Imperial Brands,0
Informa,0
InterContinental Hotels Group,30
Intertek Group,0
Intu Properties,9
ITV,639
Johnson Matthey,0
Kingfisher,0
Land Securities Group,9
Legal & General Group,14
Lloyds Banking Group,-13
London Stock Exchange Group,4
Marks & Spencer Group,-1914
Mediclinic International,0
Merlin Entertainments,0
Micro Focus International,8
Morrison (Wm) Supermarkets,223
National Grid,25
Next,89
Old Mutual,-3
Paddy Power Betfair,135
Pearson,69
Persimmon,-3
Provident Financial,3
Reckitt Benckiser Group,1
RELX,2
Rio Tinto,24
Rolls-Royce Holdings,54
Royal Bank of Scotland Group (The),21
Royal Dutch Shell,60
Royal Mail,93
RSA Insurance Group,7
Sage Group (The),116
Sainsbury (J),370
Schroders,1
Severn Trent,2
Shire,0
Sky,6
Smith & Nephew,2
Smiths Group,0
Smurfit Kappa Group,3
SSE,20
Standard Chartered,43
Standard Life,31
Taylor Wimpey,1
Tesco,775
TUI AG,-3
Unilever,67
United Utilities Group,22
Vodafone Group,-17
Whitbread,0
Wolseley,5
Worldpay Group,-5
WPP,14
