3i Group,0
Admiral Group,0
Anglo American,-2
Antofagasta,0
Ashtead Group,0
AstraZeneca,0
Aviva,9
BAE Systems,11
Barclays,21
Barratt Developments,7
BHP Billiton,1
BP,-2
British Land Co,3
BT Group,41
Burberry Group,30
Capita,-2
Carnival,-4
Centrica,3
Coca-Cola HBC AG,16
Compass Group,17
ConvaTec Group,0
CRH,0
Diageo,0
Direct Line Insurance Group,15
Dixons Carphone,2
easyJet,66
Experian,5
Fresnillo,0
GKN,3
GlaxoSmithKline,12
Glencore,7
Hammerson,0
Hargreaves Lansdown,9
Hikma Pharmaceuticals,0
HSBC Holdings,-18
Imperial Brands,0
Informa,0
InterContinental Hotels Group,8
Intertek Group,0
Intu Properties,5
ITV,1092
Johnson Matthey,0
Kingfisher,2
Land Securities Group,3
Legal & General Group,2
Lloyds Banking Group,-2
London Stock Exchange Group,0
Marks & Spencer Group,257
Mediclinic International,0
Merlin Entertainments,0
Micro Focus International,8
Morrison (Wm) Supermarkets,145
National Grid,4
Next,68
Old Mutual,5
Paddy Power Betfair,119
Pearson,9
Persimmon,2
Provident Financial,0
Reckitt Benckiser Group,8
RELX,0
Rio Tinto,1
Rolls-Royce Holdings,15
Royal Bank of Scotland Group (The),18
Royal Dutch Shell,27
Royal Mail,-18
RSA Insurance Group,0
Sage Group (The),65
Sainsbury (J),444
Schroders,3
Severn Trent,7
Shire,1
Sky,-56
Smith & Nephew,0
Smiths Group,0
Smurfit Kappa Group,6
SSE,21
Standard Chartered,1
Standard Life,0
Taylor Wimpey,2
Tesco,512
TUI AG,-2
Unilever,3
United Utilities Group,11
Vodafone Group,-12
Whitbread,2
Wolseley,4
Worldpay Group,3
WPP,7
