3i Group,0
Admiral Group,0
Anglo American,-1
Antofagasta,0
Ashtead Group,0
AstraZeneca,2
Aviva,5
BAE Systems,-3
Barclays,2
Barratt Developments,8
BHP Billiton,-2
BP,-7
British Land Co,0
BT Group,15
Burberry Group,17
Capita,0
Carnival,12
Centrica,8
Coca-Cola HBC AG,3
Compass Group,10
ConvaTec Group,0
CRH,0
Diageo,0
Direct Line Insurance Group,24
Dixons Carphone,3
easyJet,15
Experian,14
Fresnillo,0
GKN,6
GlaxoSmithKline,8
Glencore,3
Hammerson,0
Hargreaves Lansdown,-1
Hikma Pharmaceuticals,0
HSBC Holdings,21
Imperial Brands,0
Informa,0
InterContinental Hotels Group,17
Intertek Group,0
Intu Properties,3
ITV,636
Johnson Matthey,0
Kingfisher,6
Land Securities Group,0
Legal & General Group,2
Lloyds Banking Group,-12
London Stock Exchange Group,-13
Marks & Spencer Group,309
Mediclinic International,0
Merlin Entertainments,0
Micro Focus International,0
Morrison (Wm) Supermarkets,213
National Grid,-1
Next,127
Old Mutual,94
Paddy Power Betfair,292
Pearson,15
Persimmon,-9
Provident Financial,0
Reckitt Benckiser Group,3
RELX,0
Rio Tinto,-1
Rolls-Royce Holdings,38
Royal Bank of Scotland Group (The),15
Royal Dutch Shell,106
Royal Mail,-17
RSA Insurance Group,-4
Sage Group (The),30
Sainsbury (J),366
Schroders,2
Severn Trent,-1
Shire,0
Sky,-137
Smith & Nephew,0
Smiths Group,0
Smurfit Kappa Group,0
SSE,18
Standard Chartered,0
Standard Life,12
Taylor Wimpey,2
Tesco,406
TUI AG,-5
Unilever,9
United Utilities Group,7
Vodafone Group,-14
Whitbread,0
Wolseley,0
Worldpay Group,0
WPP,5
